光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04744020849466324, -0.00981647428125143, 3.120863437652588, 6.086978435516357, 7.628298282623291, 1.5249452590942383]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04615349695086479, -0.012241305783390999, 3.095386028289795, 6.057743549346924, 7.59369421005249, 1.528432846069336]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047348786145448685, -0.010318160057067871, 3.1145706176757812, 6.082998275756836, 7.624152183532715, 1.5277011394500732]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04685334116220474, -0.010829297825694084, 3.111454963684082, 6.071824073791504, 7.607662200927734, 1.5287154912948608]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04706797003746033, -0.01089740451425314, 3.111109733581543, 6.067623138427734, 7.5994157791137695, 1.5292056798934937]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04726328328251839, -0.010296548716723919, 3.1146788597106934, 6.075425624847412, 7.611575126647949, 1.5284221172332764]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04694244638085365, -0.010036182589828968, 3.1130032539367676, 6.08714485168457, 7.639194488525391, 1.5273175239562988]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047197140753269196, -0.00954658817499876, 3.116166591644287, 6.0981550216674805, 7.66584587097168, 1.5214951038360596]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04667704924941063, -0.009967484511435032, 3.1464009284973145, 6.104825973510742, 7.643302917480469, 1.5251727104187012]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047127556055784225, -0.010703016072511673, 3.1214051246643066, 6.072246551513672, 7.601751327514648, 1.5270472764968872]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047211527824401855, -0.009766851551830769, 3.121691942214966, 6.089770793914795, 7.639402389526367, 1.5191271305084229]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04697761312127113, -0.010063936933875084, 3.1292226314544678, 6.095893383026123, 7.642989635467529, 1.5289874076843262]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04472785070538521, -0.014969266019761562, 3.069087266921997, 6.049396514892578, 7.598897933959961, 1.5351946353912354]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047365687787532806, -0.009743664413690567, 3.1256537437438965, 6.0805344581604, 7.621854305267334, 1.5239044427871704]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047435157001018524, -0.009393331594765186, 3.1310925483703613, 6.103055000305176, 7.653310775756836, 1.52216374874115]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04738004505634308, -0.009974565356969833, 3.106119155883789, 6.086691379547119, 7.64486026763916, 1.529617190361023]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046456146985292435, -0.011663918383419514, 3.086310863494873, 6.064908027648926, 7.625948905944824, 1.5312798023223877]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04584473371505737, -0.011994714848697186, 3.0969533920288086, 6.055820465087891, 7.601853370666504, 1.527718186378479]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04704910144209862, -0.010890395380556583, 3.0976226329803467, 6.066319465637207, 7.616660118103027, 1.5285035371780396]"
