光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04375506192445755, -0.015086776576936245, 2.925701141357422, 6.119417667388916, 7.566859722137451, 1.563551902770996]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04349879175424576, -0.01531471312046051, 2.923064708709717, 6.099643230438232, 7.547482967376709, 1.5635634660720825]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04271470010280609, -0.01638585701584816, 2.9414381980895996, 6.046555995941162, 7.486429691314697, 1.5627983808517456]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04051203653216362, -0.014550920575857162, 3.1850688457489014, 6.074379920959473, 7.4455742835998535, 1.5800355672836304]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04356767609715462, -0.014801005832850933, 2.920732021331787, 6.103239059448242, 7.558178424835205, 1.5635335445404053]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.043224819004535675, -0.014942723326385021, 2.91939115524292, 6.07795524597168, 7.535429000854492, 1.5634828805923462]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04345013201236725, -0.01538674533367157, 2.9232683181762695, 6.09627628326416, 7.543637752532959, 1.5635576248168945]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04354419931769371, -0.014337961561977863, 2.909043788909912, 6.095248222351074, 7.5623064041137695, 1.5645357370376587]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.043245963752269745, -0.015935227274894714, 2.9452810287475586, 5.992339134216309, 7.451846599578857, 1.5589916706085205]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04382055625319481, -0.015588420443236828, 2.915255069732666, 6.118517875671387, 7.56057071685791, 1.5641225576400757]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04368451610207558, -0.0146692069247365, 2.93870210647583, 6.121387004852295, 7.5731306076049805, 1.563119888305664]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04232523962855339, -0.016187451779842377, 2.946722984313965, 6.028543949127197, 7.473599910736084, 1.562780499458313]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04334072396159172, -0.013369360938668251, 2.8924169540405273, 6.071529388427734, 7.5599212646484375, 1.5650466680526733]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04362614452838898, -0.01571023464202881, 2.9186911582946777, 6.106441974639893, 7.54780912399292, 1.5637975931167603]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04345753416419029, -0.013712096028029919, 2.9146230220794678, 6.091961860656738, 7.56749153137207, 1.564051866531372]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04322585090994835, -0.01510933879762888, 2.9285807609558105, 6.0830583572387695, 7.536201000213623, 1.5632935762405396]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04363890364766121, -0.01491999439895153, 2.9242074489593506, 6.11025333404541, 7.561844825744629, 1.563497543334961]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.043709833174943924, -0.015218585729598999, 2.9036614894866943, 6.104184627532959, 7.55475378036499, 1.5640885829925537]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04246942326426506, -0.016214897856116295, 2.94716215133667, 6.039121150970459, 7.481867790222168, 1.5628235340118408]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04345984384417534, -0.015053101815283298, 2.9128506183624268, 6.091251850128174, 7.545496940612793, 1.5637449026107788]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.043353304266929626, -0.014692768454551697, 2.9132256507873535, 6.083770275115967, 7.544535160064697, 1.5636231899261475]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0427660271525383, -0.015950042754411697, 2.9376869201660156, 6.055179595947266, 7.499994277954102, 1.563097596168518]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04380634054541588, -0.015557670034468174, 2.918161630630493, 6.119090557098389, 7.561454772949219, 1.5641266107559204]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0433134064078331, -0.013428544625639915, 2.887338161468506, 6.066866397857666, 7.556945323944092, 1.5655325651168823]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.043148551136255264, -0.01544185634702444, 2.9261817932128906, 6.076257228851318, 7.5260210037231445, 1.5633978843688965]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.043443143367767334, -0.013819526880979538, 2.920628547668457, 6.094122409820557, 7.564960956573486, 1.5632846355438232]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04335934668779373, -0.013435663655400276, 2.891078472137451, 6.0721330642700195, 7.559368133544922, 1.5650287866592407]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04336415231227875, -0.015405891463160515, 2.918713092803955, 6.087635517120361, 7.536739349365234, 1.5636448860168457]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04348388686776161, -0.013794612139463425, 2.89365816116333, 6.082422256469727, 7.560338973999023, 1.5644720792770386]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04271121323108673, -0.016004445031285286, 2.9385600090026855, 6.051734924316406, 7.496268272399902, 1.5630695819854736]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04361540824174881, -0.01590484380722046, 2.935305595397949, 6.114750862121582, 7.549999237060547, 1.5634284019470215]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04361660033464432, -0.014533850364387035, 2.899900436401367, 6.095426082611084, 7.559372901916504, 1.5644488334655762]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04272839426994324, -0.01613273285329342, 2.9413838386535645, 6.054521560668945, 7.496387481689453, 1.5630335807800293]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04384152218699455, -0.015895552933216095, 2.936600685119629, 6.003352642059326, 7.463581085205078, 1.5583107471466064]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04367467761039734, -0.01460603903979063, 2.90899395942688, 6.10448694229126, 7.563352584838867, 1.5638214349746704]"
