光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044874005019664764, -0.009468871168792248, 2.96952486038208, 5.964688301086426, 7.477007865905762, 1.492271900177002]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0461726188659668, -0.008093301206827164, 2.9721438884735107, 5.962593078613281, 7.512171745300293, 1.4923547506332397]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04477936029434204, -0.008989163674414158, 2.982788324356079, 5.967803001403809, 7.481529235839844, 1.492798089981079]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04941483214497566, -0.010248394683003426, 2.939779758453369, 5.986908912658691, 7.541751861572266, 1.4859633445739746]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04838133230805397, -0.008849216625094414, 2.9578909873962402, 5.992331504821777, 7.549480438232422, 1.4951655864715576]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046854276210069656, -0.008135967887938023, 2.971266746520996, 5.986034393310547, 7.538606643676758, 1.4923386573791504]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0440622940659523, -0.009159899316728115, 2.974940538406372, 5.941467761993408, 7.4421234130859375, 1.4917242527008057]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.05010345205664635, -0.010521871037781239, 2.9421324729919434, 6.006034851074219, 7.531651496887207, 1.4941737651824951]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04504148289561272, -0.008090640418231487, 2.9746811389923096, 5.944634437561035, 7.475111961364746, 1.4900646209716797]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04302060976624489, -0.008524886332452297, 2.9893879890441895, 5.947207450866699, 7.444323539733887, 1.4914699792861938]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04641640931367874, -0.011327181942760944, 2.9548163414001465, 5.989490509033203, 7.494795799255371, 1.4896395206451416]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047661393880844116, -0.006244841497391462, 2.980293035507202, 5.980143070220947, 7.559788703918457, 1.4989099502563477]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045963823795318604, -0.011802993714809418, 2.9581518173217773, 5.992499351501465, 7.48118782043457, 1.4918441772460938]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045767366886138916, -0.009985238313674927, 2.9651262760162354, 5.972599983215332, 7.480157852172852, 1.4912219047546387]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04613110050559044, -0.009669133462011814, 2.9678354263305664, 5.968746185302734, 7.488725662231445, 1.4925544261932373]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04732733592391014, -0.010876474902033806, 2.944204092025757, 5.976532936096191, 7.481474876403809, 1.4923114776611328]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045742254704236984, -0.009655734524130821, 2.972038745880127, 5.991703987121582, 7.496150970458984, 1.4970897436141968]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04816422238945961, -0.010833635926246643, 2.95105242729187, 5.995121002197266, 7.522326469421387, 1.488787293434143]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04261946678161621, -0.008410072885453701, 2.9956490993499756, 5.9407854080200195, 7.432100296020508, 1.4957337379455566]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046201568096876144, -0.009817300364375114, 2.9637551307678223, 5.981025695800781, 7.502682685852051, 1.492811679840088]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04640215262770653, -0.010122081264853477, 2.9555487632751465, 5.971487045288086, 7.481894493103027, 1.4911675453186035]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047722671180963516, -0.010655957274138927, 2.9529900550842285, 5.984898090362549, 7.501089096069336, 1.4908475875854492]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04642670974135399, -0.009123764932155609, 2.9589412212371826, 5.962408065795898, 7.519216537475586, 1.4866251945495605]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04799414426088333, -0.00827078428119421, 2.9614930152893066, 5.967987537384033, 7.513853073120117, 1.4936745166778564]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0461871437728405, -0.00862395390868187, 2.978142261505127, 5.977544784545898, 7.507620811462402, 1.4930644035339355]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0479041188955307, -0.00902669969946146, 2.9713313579559326, 5.994333267211914, 7.5192155838012695, 1.4958949089050293]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0463467575609684, -0.009086629375815392, 2.9600820541381836, 5.961733341217041, 7.483726501464844, 1.492469310760498]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04491296038031578, -0.010481296107172966, 2.9674582481384277, 5.976637840270996, 7.465635299682617, 1.4928184747695923]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047687239944934845, -0.009819074533879757, 2.9628734588623047, 5.989317417144775, 7.514359474182129, 1.4901046752929688]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045324020087718964, -0.012134919874370098, 2.9669792652130127, 5.991537570953369, 7.4568376541137695, 1.4908857345581055]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04434318095445633, -0.008730221539735794, 2.98776912689209, 5.9582719802856445, 7.460848808288574, 1.4971141815185547]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044315729290246964, -0.008206692524254322, 2.9806418418884277, 5.955482482910156, 7.477045059204102, 1.4918653964996338]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04523823782801628, -0.008922125212848186, 2.9757168292999268, 5.97000789642334, 7.494927406311035, 1.4931650161743164]"
