光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045265082269907, -0.011405827477574348, 3.1285595893859863, 6.224725723266602, 7.422083377838135, 1.5681202411651611]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04429538920521736, -0.011046972125768661, 3.1613199710845947, 6.255167007446289, 7.4060492515563965, 1.576037883758545]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.049567874521017075, -0.013003271073102951, 3.0556187629699707, 6.126933574676514, 7.449043273925781, 1.5432535409927368]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045252978801727295, -0.011362303979694843, 3.1392176151275635, 6.227503776550293, 7.421748638153076, 1.5686285495758057]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04502106085419655, -0.011299870908260345, 3.1376752853393555, 6.235031604766846, 7.417447090148926, 1.5699982643127441]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044430412352085114, -0.011251349002122879, 3.140918016433716, 6.2521796226501465, 7.409698486328125, 1.5742452144622803]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04655303433537483, -0.011234305799007416, 3.1098244190216064, 6.193198204040527, 7.431432723999023, 1.5572940111160278]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04544343054294586, -0.011179930530488491, 3.1248111724853516, 6.225541114807129, 7.418459415435791, 1.5658725500106812]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04348665103316307, -0.009623127989470959, 3.106391191482544, 6.222066402435303, 7.370180130004883, 1.578379511833191]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04519197344779968, -0.01106562465429306, 3.1135194301605225, 6.2337446212768555, 7.411919593811035, 1.5666853189468384]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047526486217975616, -0.011377820745110512, 3.0845279693603516, 6.1657304763793945, 7.440009117126465, 1.5497791767120361]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04683360829949379, -0.010912296362221241, 3.0804896354675293, 6.190711498260498, 7.424670219421387, 1.552619218826294]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045707348734140396, -0.011007673107087612, 3.119946241378784, 6.222564697265625, 7.417019844055176, 1.5631333589553833]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046531595289707184, -0.011282899416983128, 3.1032180786132812, 6.1916656494140625, 7.431820392608643, 1.5572600364685059]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046671491116285324, -0.011324882507324219, 3.0993003845214844, 6.186412811279297, 7.434134006500244, 1.5561895370483398]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04683170095086098, -0.011280778795480728, 3.10768461227417, 6.184412002563477, 7.435603141784668, 1.5553377866744995]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047057025134563446, -0.011327246204018593, 3.0910964012145996, 6.175240516662598, 7.438009262084961, 1.552992582321167]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04561036080121994, -0.01134656835347414, 3.125314235687256, 6.2168426513671875, 7.424413681030273, 1.5652676820755005]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045174580067396164, -0.011253563687205315, 3.124962568283081, 6.2306623458862305, 7.417113304138184, 1.568060040473938]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04443486034870148, -0.011091441847383976, 3.1472036838531494, 6.257049083709717, 7.406430244445801, 1.5740056037902832]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04675157368183136, -0.011015228927135468, 3.1079506874084473, 6.193536281585693, 7.428354263305664, 1.5550246238708496]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04656282812356949, -0.011084786616265774, 3.1056032180786133, 6.196358680725098, 7.427640914916992, 1.5564900636672974]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046267036348581314, -0.011347649618983269, 3.1063690185546875, 6.1972784996032715, 7.430549621582031, 1.559546947479248]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04574861750006676, -0.01122993417084217, 3.1332082748413086, 6.21726655960083, 7.42385721206665, 1.5643008947372437]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045406486839056015, -0.011106999590992928, 3.1217503547668457, 6.228051662445068, 7.416047096252441, 1.5657262802124023]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04665945842862129, -0.011201252229511738, 3.1069858074188232, 6.19093132019043, 7.431652069091797, 1.5562663078308105]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04378894716501236, -0.010483083315193653, 3.1199047565460205, 6.231638431549072, 7.389923095703125, 1.5779035091400146]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045903850346803665, -0.011004413478076458, 3.108651638031006, 6.216110706329346, 7.4183244705200195, 1.5611087083816528]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045157868415117264, -0.011556725017726421, 3.1445207595825195, 6.225528717041016, 7.425709247589111, 1.5702550411224365]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04634300619363785, -0.011170625686645508, 3.1016666889190674, 6.199370384216309, 7.426830291748047, 1.558148980140686]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045502763241529465, -0.011196929030120373, 3.1325032711029053, 6.224488258361816, 7.420163154602051, 1.5659153461456299]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044423628598451614, -0.011290883645415306, 3.1487088203430176, 6.25227689743042, 7.411181449890137, 1.5748443603515625]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04589530825614929, -0.011208416894078255, 3.1154139041900635, 6.211796283721924, 7.423633098602295, 1.5622245073318481]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04498600214719772, -0.01107458770275116, 3.1362805366516113, 6.241710662841797, 7.411550521850586, 1.569409728050232]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047972314059734344, -0.011574594303965569, 3.0770788192749023, 6.1596832275390625, 7.439455509185791, 1.5476469993591309]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04549422487616539, -0.01124363299459219, 3.1308493614196777, 6.223277568817139, 7.421048164367676, 1.566046953201294]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04801517724990845, -0.011720312759280205, 3.085993528366089, 6.158946514129639, 7.441520690917969, 1.54852294921875]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046808384358882904, -0.011369450017809868, 3.107327461242676, 6.182643413543701, 7.437421798706055, 1.555787444114685]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04812151938676834, -0.011400875635445118, 3.0602529048919678, 6.158744812011719, 7.435308933258057, 1.545119047164917]"
