光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04569350928068161, -0.011043519712984562, 3.0001301765441895, 5.9730730056762695, 7.520223617553711, 1.5378791093826294]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046878404915332794, -0.012124254368245602, 3.0036463737487793, 5.981200695037842, 7.520899772644043, 1.5399717092514038]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04588906839489937, -0.011460852809250355, 2.9976727962493896, 5.967397212982178, 7.516561031341553, 1.5393147468566895]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04633947089314461, -0.011662604287266731, 3.001667022705078, 5.976625919342041, 7.520120143890381, 1.5391563177108765]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0483831949532032, -0.01272798702120781, 3.0178842544555664, 6.014097690582275, 7.533901214599609, 1.5391218662261963]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047365862876176834, -0.012378876097500324, 3.007507801055908, 5.990123271942139, 7.524178981781006, 1.5399658679962158]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046897973865270615, -0.011834440752863884, 3.007615566253662, 5.9903693199157715, 7.52577018737793, 1.538602590560913]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04709649085998535, -0.01184111088514328, 3.0104217529296875, 5.996852397918701, 7.5286383628845215, 1.5381574630737305]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047392264008522034, -0.012086798436939716, 3.0116052627563477, 5.9995880126953125, 7.529187202453613, 1.5385700464248657]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04816484451293945, -0.012598582543432713, 3.0163495540618896, 6.010551452636719, 7.532674789428711, 1.5390543937683105]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04658585786819458, -0.011702639050781727, 3.0047459602355957, 5.983739376068115, 7.523177623748779, 1.538748860359192]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04717464745044708, -0.011938738636672497, 3.0103187561035156, 5.996614933013916, 7.528266906738281, 1.5384156703948975]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04703451693058014, -0.011812521144747734, 3.0098824501037598, 5.995606422424316, 7.528161525726318, 1.5381754636764526]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046176351606845856, -0.01144514698535204, 3.002056121826172, 5.977523326873779, 7.521111488342285, 1.5385549068450928]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04610154405236244, -0.011562395840883255, 2.999476194381714, 5.971563816070557, 7.518139362335205, 1.5392690896987915]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046705834567546844, -0.011572539806365967, 3.0081467628479004, 5.991596221923828, 7.527029514312744, 1.5378679037094116]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0460958369076252, -0.01141891349107027, 3.0012171268463135, 5.975584983825684, 7.520319938659668, 1.538628101348877]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04583420604467392, -0.011469225399196148, 2.996767520904541, 5.965305805206299, 7.5156073570251465, 1.5394843816757202]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047293730080127716, -0.012013993225991726, 3.0110960006713867, 5.998411178588867, 7.5288615226745605, 1.5384738445281982]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047861069440841675, -0.012446848675608635, 3.01385498046875, 6.004787445068359, 7.530521869659424, 1.5390897989273071]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045553676784038544, -0.011126279830932617, 2.997042179107666, 5.965938568115234, 7.516822338104248, 1.5385916233062744]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046056635677814484, -0.011411217041313648, 3.000743865966797, 5.974492073059082, 7.519854545593262, 1.5386868715286255]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046742361038923264, -0.01177053153514862, 3.00616192817688, 5.987010955810547, 7.524449348449707, 1.5386837720870972]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04689573496580124, -0.011790407821536064, 3.0081424713134766, 5.991587162017822, 7.526432514190674, 1.5384070873260498]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04680843651294708, -0.011693840846419334, 3.00809907913208, 5.991485595703125, 7.5266499519348145, 1.5381755828857422]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04693667218089104, -0.011889573186635971, 3.0074782371520996, 5.990052223205566, 7.525479316711426, 1.5387613773345947]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04767651855945587, -0.012518522329628468, 3.010256290435791, 5.996473789215088, 7.526626110076904, 1.5398588180541992]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04625183343887329, -0.011325884610414505, 3.004671573638916, 5.983565330505371, 7.524125576019287, 1.5378299951553345]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046643927693367004, -0.011740848422050476, 3.00510573387146, 5.9845709800720215, 7.523443698883057, 1.5387840270996094]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046802472323179245, -0.011814849451184273, 3.0064737796783447, 5.98773193359375, 7.524649620056152, 1.538741946220398]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04635612294077873, -0.0114654041826725, 3.0044164657592773, 5.982976913452148, 7.523484230041504, 1.5382167100906372]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04688370227813721, -0.011739385314285755, 3.0086159706115723, 5.992680549621582, 7.527058124542236, 1.5382031202316284]"
