光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046259988099336624, -0.010722705163061619, 3.0756754875183105, 6.114727020263672, 7.649292945861816, 1.507502555847168]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04729790613055229, -0.008877657353878021, 3.074702262878418, 6.098203182220459, 7.63267707824707, 1.5075862407684326]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04590220749378204, -0.010250023566186428, 3.0634217262268066, 6.094428539276123, 7.6369829177856445, 1.5107685327529907]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04551628977060318, -0.010684679262340069, 3.066859483718872, 6.0966596603393555, 7.636406898498535, 1.5098005533218384]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04672502726316452, -0.00959300622344017, 3.0785202980041504, 6.116488933563232, 7.6565704345703125, 1.510587453842163]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045364268124103546, -0.011602748185396194, 3.063514471054077, 6.101107597351074, 7.637018203735352, 1.5084118843078613]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04442823305726051, -0.012911025434732437, 3.0462136268615723, 6.087995529174805, 7.6259765625, 1.5086092948913574]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04544028267264366, -0.011345954611897469, 3.0611636638641357, 6.1039276123046875, 7.647798538208008, 1.5112202167510986]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045063283294439316, -0.012267349287867546, 3.0645382404327393, 6.115070343017578, 7.655872344970703, 1.510338306427002]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0463421605527401, -0.010768743231892586, 3.0676779747009277, 6.1074018478393555, 7.6421709060668945, 1.5083110332489014]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04572569578886032, -0.010416253469884396, 3.060204267501831, 6.089627265930176, 7.6334333419799805, 1.510685682296753]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04664911702275276, -0.00859593041241169, 3.0750534534454346, 6.080652713775635, 7.617433547973633, 1.5075198411941528]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04596799612045288, -0.010821360163390636, 3.0678558349609375, 6.097550392150879, 7.627778053283691, 1.5074241161346436]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04648706316947937, -0.010663753375411034, 3.058626890182495, 6.110912322998047, 7.651987075805664, 1.510632038116455]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045947663486003876, -0.010283675976097584, 3.0641930103302, 6.095856189727783, 7.637393951416016, 1.510687232017517]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04712612181901932, -0.009175966493785381, 3.061466932296753, 6.092331886291504, 7.631866455078125, 1.5096511840820312]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04661436751484871, -0.010513526387512684, 3.0606894493103027, 6.10801887512207, 7.646592140197754, 1.5101304054260254]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04582521319389343, -0.010639160871505737, 3.062389850616455, 6.093540668487549, 7.633822441101074, 1.5096641778945923]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047173142433166504, -0.009271997027099133, 3.067229747772217, 6.098254203796387, 7.634437561035156, 1.50848388671875]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04576603323221207, -0.010148159228265285, 3.0610103607177734, 6.088244915008545, 7.630881309509277, 1.5112643241882324]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04484010487794876, -0.011442402377724648, 3.059469699859619, 6.087105751037598, 7.62674617767334, 1.5092041492462158]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04528909549117088, -0.011901994235813618, 3.057328224182129, 6.1041765213012695, 7.643558502197266, 1.510970115661621]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04582123085856438, -0.00996047630906105, 3.068732738494873, 6.086277484893799, 7.622928619384766, 1.5081642866134644]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044995348900556564, -0.011208509095013142, 3.0603585243225098, 6.085068702697754, 7.623247146606445, 1.5092871189117432]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04639637842774391, -0.009058571420609951, 3.0693416595458984, 6.083282470703125, 7.623656272888184, 1.5088629722595215]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04615165293216705, -0.010317960754036903, 3.0698843002319336, 6.099517345428467, 7.634377479553223, 1.5083293914794922]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04550660029053688, -0.012159839272499084, 3.066148519515991, 6.123512268066406, 7.662721633911133, 1.5101580619812012]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046728841960430145, -0.009665125049650669, 3.068434953689575, 6.096240520477295, 7.633516311645508, 1.5085995197296143]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045518696308135986, -0.011398985981941223, 3.06355619430542, 6.101125717163086, 7.639307022094727, 1.508655309677124]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0462116040289402, -0.010441605001688004, 3.064690589904785, 6.092800140380859, 7.626490592956543, 1.507583498954773]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0467333160340786, -0.00933194998651743, 3.067969799041748, 6.0893096923828125, 7.625974655151367, 1.5083935260772705]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04660644009709358, -0.008410328067839146, 3.078876495361328, 6.086027145385742, 7.6244401931762695, 1.5085663795471191]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04612194001674652, -0.010883301496505737, 3.0629539489746094, 6.109591484069824, 7.652080535888672, 1.5111308097839355]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04752511531114578, -0.008974479511380196, 3.071851968765259, 6.1013593673706055, 7.634775161743164, 1.5077812671661377]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04612134397029877, -0.010241151787340641, 3.066375255584717, 6.091874122619629, 7.627758026123047, 1.5085073709487915]"
