光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04301299899816513, -0.01730242185294628, 2.9967844486236572, 5.958220958709717, 7.4693193435668945, 1.5423802137374878]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0437033586204052, -0.0203718189150095, 3.016043186187744, 5.943905353546143, 7.47939395904541, 1.5422711372375488]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04381341487169266, -0.01780768670141697, 3.0058178901672363, 5.954509258270264, 7.463541030883789, 1.5391610860824585]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0459558367729187, -0.023152990266680717, 3.019928216934204, 5.905527591705322, 7.445550918579102, 1.5375500917434692]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04735824093222618, -0.014749455265700817, 3.0021514892578125, 5.966657638549805, 7.420195579528809, 1.5300121307373047]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.041910961270332336, -0.0184018574655056, 2.9950830936431885, 5.958338737487793, 7.491245269775391, 1.5487189292907715]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0425787977874279, -0.018990816548466682, 2.9991910457611084, 5.9508562088012695, 7.48210334777832, 1.5460766553878784]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04262847825884819, -0.020086560398340225, 3.0223114490509033, 5.9619951248168945, 7.510583877563477, 1.5474975109100342]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.043809112161397934, -0.016604430973529816, 2.99934720993042, 5.958539009094238, 7.455191612243652, 1.5379263162612915]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04631558433175087, -0.015454313717782497, 3.001962423324585, 5.963770389556885, 7.426711082458496, 1.5303194522857666]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04626172035932541, -0.019059211015701294, 3.054605484008789, 5.965731143951416, 7.479364395141602, 1.532371163368225]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.043178439140319824, -0.0163812804967165, 2.986560106277466, 5.955034255981445, 7.45258092880249, 1.540445327758789]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0446494035422802, -0.016911623999476433, 3.016521692276001, 5.963250160217285, 7.458845138549805, 1.5345829725265503]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04446682333946228, -0.017362093552947044, 3.019958972930908, 5.964394569396973, 7.467249870300293, 1.5359820127487183]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.041261300444602966, -0.019524896517395973, 2.9807820320129395, 5.945779800415039, 7.501102924346924, 1.5546047687530518]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04573889076709747, -0.02135264314711094, 2.998318672180176, 5.9109978675842285, 7.4291791915893555, 1.5366266965866089]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04473385214805603, -0.01699940860271454, 3.0190367698669434, 5.963962554931641, 7.460224628448486, 1.5343209505081177]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04360297694802284, -0.018806779757142067, 3.014105796813965, 5.955781936645508, 7.478810787200928, 1.5413274765014648]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0436515174806118, -0.017258457839488983, 3.0059897899627686, 5.960638046264648, 7.467162132263184, 1.5394788980484009]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04730115830898285, -0.015513635240495205, 2.992825746536255, 5.947970390319824, 7.408721923828125, 1.5315312147140503]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0449635274708271, -0.017854848876595497, 3.024951457977295, 5.960102081298828, 7.462919235229492, 1.5341237783432007]"
